Trackbacks classified by shape only (no Movable Type export was available).
These match the shape but are not truncated with an ellipsis like most MT trackbacks;
check that none is really a comment. slug | date | site | title | reason

pinstripe-firefox-gallery | 2004-02-09T13:49:48 | eXtremities | "Technical Jiggery Pokery: Pinstripe Firefox Gallery" | trackback shape, but the excerpt is not truncated with an ellipsis
pinstripe-firefox-gallery | 2004-06-06T15:04:56 | PAINED.NET | "Mozilla Firefox: Replacing the default theme" | trackback shape, but the excerpt is not truncated with an ellipsis
pinstripe-firefox-gallery | 2004-06-06T15:05:06 | PAINED.NET | "Mozilla Firefox: Replacing the default theme" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-06-06T15:05:02 | PAINED.NET | "Mozilla Firefox: Replacing the default theme" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-06-06T17:13:33 | Minh’s Notes | "Winstripe" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-06-06T18:13:44 | Neil's Smaller World | "The fox is out of the bag" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-06-06T19:45:10 | y0? | "Winstripe - for Windows?" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-06-07T17:54:44 | Andys Blog | "Firefox mit neuem Skin" | trackback shape, but the excerpt is not truncated with an ellipsis
the-fox-is-out-of-the-bag | 2004-07-30T04:19:03 | y0? | "Winstripe - (A Belated) Part 2" | trackback shape, but the excerpt is not truncated with an ellipsis
pretty-widgets | 2004-09-22T11:37:32 | micampe.it | "Un lifting per Firefox" | trackback shape, but the excerpt is not truncated with an ellipsis
pretty-widgets | 2004-12-01T22:31:38 | risckyBabble | "Old Fragments" | trackback shape, but the excerpt is not truncated with an ellipsis
pretty-widgets-part-2 | 2004-11-06T19:54:45 | BeatnikPad: Journal | "Optimized Firefox build for G5" | trackback shape, but the excerpt is not truncated with an ellipsis
pretty-widgets-part-2 | 2004-12-13T22:01:25 | PD | "Mac Tips" | trackback shape, but the excerpt is not truncated with an ellipsis
firefox-10almost | 2004-10-28T21:27:34 | Free Vision | "The answer is "Mozilla Network"." | trackback shape, but the excerpt is not truncated with an ellipsis
aboutaquafication | 2004-11-09T07:33:14 | 4 Banalitaten | "Per tutti ma non per Mac" | trackback shape, but the excerpt is not truncated with an ellipsis
aboutaquafication | 2004-12-13T22:27:34 | PD | "Firefox for the Mac" | trackback shape, but the excerpt is not truncated with an ellipsis
thunderbirds-extreme-mac-over | 2004-12-09T07:01:22 | Veerle's blog | "Thunderbird's Extreme Mac-over" | trackback shape, but the excerpt is not truncated with an ellipsis
